Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,1,26,30,101,245,92,7,1,1,0,4,7,6,5,7,0,3,4,0,0,550
Wednesday,0,0,0,0,2,22,40,77,184,70,2,2,1,4,2,7,5,2,3,5,0,7,0,0,445
Thursday,0,0,0,0,1,25,42,90,225,91,7,5,5,3,1,7,0,5,0,1,2,3,0,0,521
Friday,0,0,0,0,7,29,53,106,258,99,0,1,4,0,2,0,1,4,5,2,4,5,0,0,587
Monday,0,0,0,0,3,23,27,95,234,79,0,3,6,8,6,5,5,4,6,4,0,5,0,0,522
Tuesday,0,0,0,0,1,26,52,106,264,83,1,2,6,5,3,4,6,3,4,3,6,6,0,0,587
Wednesday,0,0,0,0,7,12,19,52,127,43,6,6,0,5,7,0,1,3,3,4,3,0,0,0,306
Thursday,0,0,0,0,4,30,51,118,291,95,3,7,7,1,8,3,5,6,0,1,5,5,0,0,648
Friday,0,0,0,0,2,16,15,61,150,55,6,2,0,5,0,5,5,5,3,5,0,0,0,0,342
Monday,0,0,0,0,2,17,22,61,153,61,0,1,6,6,2,0,4,1,4,2,1,2,0,0,352
Tuesday,0,0,0,0,7,21,37,73,176,53,2,7,7,2,0,0,0,0,3,7,3,7,0,0,412
Wednesday,0,0,0,0,0,28,60,116,284,100,2,4,4,3,4,5,7,3,1,5,1,0,0,0,634
Thursday,0,0,0,0,3,18,32,62,154,63,0,7,7,3,1,7,4,2,0,7,4,4,0,0,388
Friday,0,0,0,0,2,29,43,110,265,90,3,0,4,5,3,6,3,4,6,1,2,4,0,0,590
Monday,0,0,0,0,4,23,44,83,201,82,6,7,4,4,6,0,6,3,5,1,4,7,0,0,499
Tuesday,0,0,0,0,5,24,25,83,202,69,2,2,3,0,2,0,7,3,5,1,5,0,0,0,448
Wednesday,0,0,0,0,7,21,31,82,205,78,6,1,0,3,5,6,5,0,4,3,1,5,0,0,471
Thursday,0,0,0,0,0,19,40,80,193,65,5,5,5,0,6,6,0,3,5,5,0,6,0,0,453
Friday,0,0,0,0,3,23,23,92,223,81,5,2,0,5,6,1,7,3,6,0,7,7,0,0,502
Monday,0,0,0,0,6,19,26,77,191,79,7,6,3,4,4,4,7,1,2,6,2,7,0,0,459
Tuesday,0,0,0,0,3,19,31,66,164,68,6,6,1,0,5,4,2,4,5,6,2,3,0,0,403
Wednesday,0,0,0,0,1,19,27,74,181,63,2,7,2,3,3,6,2,2,5,1,5,5,0,0,418
Thursday,0,0,0,0,0,13,12,46,112,40,2,6,4,6,5,2,4,4,4,0,4,6,0,0,278
Friday,0,0,0,0,5,12,22,45,112,47,7,2,6,7,5,7,6,1,7,4,2,7,0,0,313
Monday,0,0,0,0,3,17,23,64,155,63,5,7,7,1,5,2,1,0,2,7,0,0,0,0,372
Tuesday,0,0,0,0,6,27,38,108,269,81,6,0,2,3,6,5,2,4,2,0,1,3,0,0,573
Wednesday,0,0,0,0,1,27,53,103,252,93,1,3,0,0,4,1,7,5,3,2,0,7,0,0,571
Thursday,0,0,0,0,6,31,41,119,295,104,1,1,3,0,7,4,2,6,7,5,0,7,0,0,649
Friday,0,0,0,0,5,19,36,78,193,67,1,0,5,3,5,0,1,4,0,0,6,7,0,0,439
Monday,0,0,0,0,1,19,19,62,154,57,7,4,6,2,2,6,4,4,7,2,3,2,0,0,369
Saturday,0,0,0,0,0,8,8,12,2,2,11,6,3,10,5,4,10,0,4,11,10,3,12,0,130
Saturday,0,0,0,0,0,15,0,11,2,11,0,10,6,12,12,5,12,5,14,8,0,0,15,0,148
Saturday,0,0,0,0,0,7,0,0,12,0,3,7,6,12,13,4,1,8,10,5,3,9,0,0,110
Saturday,0,0,0,0,0,1,6,10,13,1,14,2,10,4,4,4,9,8,9,4,2,4,5,0,119
Saturday,0,0,0,0,0,14,1,3,8,3,8,13,3,1,12,0,15,0,9,7,11,15,14,0,146
Saturday,0,0,0,0,0,5,10,6,3,11,3,10,5,4,9,11,5,1,11,9,12,2,3,0,128
Sunday,0,0,0,0,0,11,1,1,7,14,15,8,2,6,0,1,2,6,13,5,11,15,5,0,132
Sunday,0,0,0,0,0,5,7,5,5,15,13,1,11,10,10,9,10,11,10,4,8,4,4,0,150
Sunday,0,0,0,0,0,7,4,0,0,5,9,12,10,5,2,4,0,4,15,8,5,2,0,0,101
Sunday,0,0,0,0,0,8,3,13,14,8,1,14,3,3,11,5,14,12,11,4,16,11,6,0,165
Sunday,0,0,0,0,0,6,1,5,5,14,2,0,15,1,8,5,0,15,14,11,4,15,4,0,134
Sunday,0,0,0,0,0,2,7,6,10,14,8,3,14,10,14,14,1,13,0,13,11,9,10,0,168
