Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,3,1,3,3,19,51,102,37,74,161,144,638,2390,2352,646,5894,194,65,162,138,170,162,0,1,13410
Wednesday,4,2,0,5,53,130,131,118,81,149,154,539,1795,1854,490,4524,153,123,75,41,90,119,0,2,10632
Thursday,4,0,2,5,68,181,87,150,28,87,154,558,1841,1876,521,4667,130,94,167,111,190,140,2,0,11063
Friday,2,2,1,1,169,141,69,104,55,140,75,563,2082,2115,596,5219,199,199,167,81,139,122,0,0,12241
Monday,4,1,5,3,139,117,88,183,89,177,125,550,1973,1915,567,4777,97,184,141,159,53,198,3,2,11550
Tuesday,1,1,2,5,5,47,163,103,41,29,198,629,2420,2424,702,6052,32,90,90,113,185,134,2,4,13472
Wednesday,4,2,0,2,139,83,146,13,140,71,20,828,2991,3011,761,7442,175,26,46,159,10,65,5,0,16139
Thursday,5,0,2,0,42,159,186,192,127,36,46,636,2280,2295,621,5714,23,42,200,87,65,57,5,1,12821
Friday,5,0,1,5,76,127,90,32,31,25,17,589,2139,2144,530,5258,152,80,193,132,103,20,4,2,11755
Monday,2,4,1,5,27,74,132,8,8,2,169,525,2004,1978,509,4900,136,56,100,4,48,129,4,0,10825
Tuesday,2,2,0,5,24,36,132,171,166,118,6,426,1498,1501,388,3630,195,96,177,158,40,38,2,2,8813
Wednesday,2,2,1,4,143,65,23,134,67,200,76,463,1502,1497,418,3790,76,87,171,50,154,181,5,5,9116
Thursday,2,3,2,3,143,6,159,46,9,64,131,327,1160,1188,368,2879,72,152,64,146,148,169,3,3,7247
Friday,5,3,4,0,55,156,39,88,184,136,10,652,2333,2380,604,5835,143,62,186,69,38,0,1,4,12987
Monday,2,3,0,1,162,60,150,124,35,129,170,699,2661,2611,685,6493,179,114,117,103,94,58,0,5,14655
Tuesday,2,0,2,5,115,17,19,139,76,139,10,579,2334,2344,592,5645,100,151,129,150,117,114,3,4,12786
Wednesday,0,2,1,5,190,30,64,90,96,60,138,719,2509,2550,641,6316,89,81,3,173,15,189,2,0,13963
Thursday,5,3,0,2,180,130,41,159,68,165,199,335,1083,1062,268,2652,112,15,122,94,127,84,5,5,6916
Friday,4,4,0,1,44,192,196,89,184,134,116,418,1446,1368,409,3381,188,140,104,60,74,49,2,2,8605
Monday,3,5,4,0,184,132,7,7,121,125,102,332,1100,1076,320,2649,12,151,141,197,75,55,0,2,6800
Tuesday,0,3,2,1,119,26,128,43,84,13,43,597,2036,2059,579,5099,49,87,4,75,129,66,1,0,11243
Wednesday,4,2,4,1,27,193,96,48,148,191,23,635,2457,2392,688,5966,44,177,42,196,62,119,2,5,13522
Thursday,3,0,1,1,185,72,160,198,102,94,114,569,1967,1959,566,4785,91,43,125,160,60,171,0,0,11426
Friday,3,4,2,2,18,112,122,200,56,61,137,368,1297,1302,382,3109,118,160,22,172,76,91,3,0,7817
Monday,5,5,1,1,96,67,148,183,57,82,172,373,1214,1172,322,2907,113,147,96,55,127,36,0,5,7384
Tuesday,5,0,5,3,73,193,37,77,193,91,100,527,1931,1972,516,4727,24,148,29,35,114,144,0,1,10945
Wednesday,4,4,2,0,111,129,166,160,69,127,165,532,2077,2103,551,5090,129,110,79,158,40,59,4,3,11872
Thursday,2,1,2,1,88,2,103,80,113,182,10,700,2530,2563,649,6303,159,144,68,150,41,79,3,0,13973
Friday,2,0,0,1,199,25,142,107,22,152,67,298,1068,1058,306,2610,175,105,68,51,50,105,4,0,6615
Monday,3,1,1,3,174,97,29,6,94,123,81,501,2075,2001,573,5046,194,22,137,66,40,30,2,5,11304
Saturday,0,3,2,0,1,3,2,107,155,97,163,594,1673,2267,2748,1110,99,106,191,104,30,129,15,181,9780
Saturday,5,1,4,0,2,2,2,60,124,144,122,1948,1519,2508,495,985,149,141,50,185,10,75,61,147,8739
Saturday,5,2,0,5,0,1,3,179,53,52,127,915,1705,1311,2121,461,196,13,91,103,103,144,63,78,7731
Saturday,1,2,0,1,3,4,4,112,152,96,9,2947,1764,2343,638,1176,194,114,98,152,58,7,162,44,10081
Saturday,4,2,2,2,4,1,4,171,104,149,7,718,1803,1106,1483,359,65,148,151,96,193,133,108,76,6889
Saturday,1,5,2,3,5,0,3,164,172,48,165,1149,1482,752,1877,440,9,132,137,88,138,43,138,125,7078
Sunday,0,0,1,2,1,1,4,130,13,111,174,1476,1916,976,2479,521,152,147,165,78,124,139,145,25,8780
Sunday,1,3,0,1,5,2,5,131,134,37,25,2109,1022,2577,1579,520,84,38,136,14,35,188,200,173,9019
Sunday,2,5,0,0,5,5,2,51,166,186,27,1123,2148,586,1585,2631,150,126,27,48,106,132,152,67,9330
Sunday,5,0,0,0,1,0,2,98,55,28,126,2310,984,454,1907,1368,68,51,79,38,10,32,148,38,7802
Sunday,4,3,2,2,0,4,1,64,121,162,75,403,1582,1154,758,1883,46,124,164,14,196,95,84,12,6953
Sunday,5,5,3,1,5,2,4,49,39,56,19,805,1526,392,1127,1816,61,117,53,195,181,74,72,159,6766
