Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,0,1,1,4,70,227,470,1510,437,835,127,22,36,141,87,91,73,131,149,183,153,2,4,5,4759
Wednesday,3,3,2,2,72,248,391,1338,350,2199,192,51,109,138,66,191,118,107,139,176,195,128,5,5,6228
Thursday,5,4,5,0,29,465,559,2112,559,3507,190,194,107,80,142,131,75,110,189,68,1,22,3,5,8562
Friday,3,4,2,4,51,62,333,1117,316,1149,17,200,159,34,123,95,144,27,106,65,100,68,0,2,4181
Monday,1,4,5,1,174,13,480,1749,425,3752,63,176,175,73,15,159,33,116,51,78,27,9,3,1,7583
Tuesday,1,1,2,4,68,400,608,2162,604,3841,7,94,190,38,13,149,142,189,197,32,5,131,1,0,8879
Wednesday,1,2,1,1,97,301,604,2374,626,5276,130,148,79,20,104,28,34,10,72,188,135,17,1,1,10250
Thursday,3,1,0,2,193,33,442,1549,432,3864,44,2,47,72,42,58,89,114,116,10,108,18,1,3,7243
Friday,0,3,2,1,33,164,336,1099,271,938,191,183,82,77,159,199,103,60,85,85,191,1,0,3,4266
Monday,3,3,2,1,160,15,384,1413,366,1939,36,124,120,200,71,100,148,15,120,44,126,72,0,4,5466
Tuesday,2,0,5,4,123,276,438,1407,420,1370,15,90,123,164,66,19,91,119,32,125,168,143,0,5,5205
Wednesday,0,3,1,3,2,339,336,1047,275,607,28,169,134,57,179,64,175,137,126,171,109,99,2,1,4064
Thursday,5,3,5,1,192,552,623,2299,579,4446,76,103,174,129,107,148,78,47,177,7,154,181,1,3,10090
Friday,0,3,0,0,18,383,465,1743,448,850,43,54,71,159,142,41,178,95,142,2,173,85,1,2,5098
Monday,2,0,2,2,69,175,536,2039,527,2137,136,83,0,152,75,54,37,21,28,196,119,141,5,0,6536
Tuesday,0,2,1,5,112,141,442,1615,392,2226,82,159,140,76,157,111,115,136,118,28,84,75,3,1,6221
Wednesday,2,3,5,3,189,504,584,2200,565,22,63,91,98,165,124,55,174,191,39,91,118,42,2,3,5333
Thursday,2,2,4,0,193,91,564,2045,561,1679,97,146,19,38,64,200,86,177,132,131,85,65,3,0,6384
Friday,1,1,1,2,108,172,554,1946,548,2637,114,155,129,155,187,95,168,63,113,66,77,154,3,5,7454
Monday,2,5,4,1,13,120,251,1059,308,899,137,135,158,17,69,76,107,25,28,103,164,38,1,4,3724
Tuesday,4,4,2,1,198,323,289,1171,358,1700,59,173,36,70,37,26,121,40,185,138,90,98,1,5,5129
Wednesday,0,3,4,1,51,284,397,1283,325,793,64,149,145,137,164,130,136,8,109,173,171,7,4,0,4538
Thursday,0,3,3,3,1,281,287,1190,306,1550,190,76,119,146,76,192,117,91,19,58,140,14,3,4,4869
Friday,3,5,1,3,162,180,442,1725,463,152,77,1,21,162,103,20,92,95,193,48,97,64,4,1,4114
Monday,3,3,3,2,6,367,508,1659,432,35,150,81,96,137,52,108,125,38,165,77,2,39,2,0,4090
Tuesday,5,1,2,4,4,237,328,1304,401,711,178,143,132,68,43,22,100,105,18,140,192,97,5,3,4243
Wednesday,1,4,0,4,56,133,343,1346,431,1318,72,105,124,154,57,72,117,125,33,72,20,47,4,4,4642
Thursday,5,5,2,2,193,392,564,2091,584,4780,113,142,181,56,140,162,136,12,94,116,65,141,1,5,9982
Friday,0,3,3,2,53,31,340,1352,348,705,63,37,70,152,111,181,122,195,110,113,191,80,5,2,4269
Monday,3,5,3,3,22,119,615,2344,635,1544,176,102,100,49,95,65,190,20,130,195,88,32,4,2,6541
Saturday,5,5,4,1,0,0,137,124,88,68,88,178,131,39,60,46,885,1488,295,1185,114,16,89,5,5051
Saturday,1,0,4,1,5,3,138,56,8,107,47,106,84,91,78,171,1118,2607,1615,595,14,140,0,2,6991
Saturday,0,3,0,1,0,0,170,49,6,118,52,198,1,105,134,196,2707,1132,1664,2159,129,65,62,2,8953
Saturday,5,5,1,4,4,2,150,137,79,110,196,100,68,123,168,127,1017,1353,721,1762,17,157,10,1,6317
Saturday,3,2,5,0,4,5,88,85,154,44,90,20,194,186,181,136,2134,1347,1776,474,54,22,61,4,7069
Saturday,5,5,4,3,0,4,38,50,32,118,125,177,112,42,89,152,1153,791,412,1862,78,190,42,4,5488
Sunday,1,0,0,1,2,5,105,79,125,147,14,168,18,36,32,52,1354,673,1050,395,129,110,178,5,4679
Sunday,0,1,3,1,0,2,92,103,135,123,87,38,35,109,12,69,744,426,1042,1741,113,138,155,4,5173
Sunday,5,0,2,2,1,1,162,69,192,192,30,154,27,24,2,53,825,1232,474,1608,20,75,44,3,5197
Sunday,4,2,0,3,5,4,195,62,26,110,125,118,125,152,129,134,1517,801,1125,1919,40,10,133,1,6740
Sunday,1,1,2,2,5,5,176,115,102,74,67,96,13,137,168,83,1040,2056,580,1545,73,139,178,1,6659
Sunday,0,2,2,4,3,1,92,172,66,92,153,58,104,30,74,168,557,1391,885,304,9,1,27,2,4197
