ID,Gender,Age,Height,Weight,BMI,Workout Par Rate,Average Workout Time,STD Workout Time,Average Calories Burnt,STD Calories Burnt,Number of Sessions
1001,Female,23.0,1.6,52.0,20.3125,0.7,1.4761904761904763,0.5785646631371009,304.0,131.36281999177118,21
1002,Male,19.0,1.8,80.0,24.69135802,0.8,1.3333333333333333,0.3849001794597505,276.875,94.90669760348845,24
1003,Male,20.0,1.83,66.0,19.70796381,0.8666666666666667,1.4230769230769231,0.5047002562484586,302.53846153846155,121.5950387002049,26
1004,Male,25.0,1.78,78.0,24.61810377,0.7333333333333333,1.4545454545454546,0.548202444686843,310.72727272727275,131.1121559792595,22
1005,Female,19.0,1.64,53.0,19.70553242,0.7666666666666667,1.391304347826087,0.46155742796315613,288.60869565217394,112.53913157408115,23
1006,Female,51.0,1.59,50.0,19.77769867,0.8,1.0,0.0,228.04166666666666,49.81003845165707,24
1007,Male,19.0,1.83,82.0,24.48565201,0.7333333333333333,1.0,0.0,249.27272727272728,39.8385170157792,22
1008,Male,18.0,1.87,67.0,19.15982728,0.7333333333333333,1.0,0.0,219.0,38.772061168742724,22
1009,Female,24.0,1.56,60.0,24.65483235,0.7333333333333333,1.0,0.0,232.95454545454547,41.756303032897996,22
1010,Female,19.0,1.51,45.0,19.73597649,0.7,1.0,0.0,218.47619047619048,40.763684874347994,21
1011,Male,17.0,1.79,57.0,17.78970694,0.8333333333333334,1.0,0.0,228.28,47.05530363306564,25
1012,Male,27.0,1.8,87.0,26.85185185,0.7666666666666667,1.0,0.0,212.95652173913044,41.40623588917975,23
1013,Male,30.0,1.8,91.0,28.08641975,0.7,1.0,0.0,224.0952380952381,38.77763808459073,21
1014,Male,25.0,1.78,98.0,30.93043808,0.6333333333333333,1.0,0.0,224.57894736842104,47.534271060023165,19
1015,Female,21.0,1.75,88.0,28.73469388,0.7,1.0,0.0,225.28571428571428,47.057353918629225,21
1016,Male,38.0,1.7,78.0,26.98961938,0.7666666666666667,1.0,0.0,240.8695652173913,46.26605887860766,23
1017,Female,21.0,1.65,88.0,32.32323232,0.7666666666666667,1.0,0.0,229.47826086956522,51.50928119425991,23
1018,Male,41.0,1.8,99.0,30.55555556,0.7,1.0,0.0,225.38095238095238,45.648216144644785,21
1019,Female,31.0,1.58,68.0,27.23922448,0.7333333333333333,1.0,0.0,229.8181818181818,39.301441522991546,22
1020,Male,55.0,1.65,80.0,29.38475666,0.8666666666666667,1.0,0.0,211.26923076923077,40.207689364394824,26
1021,Male,21.0,1.76,78.0,25.18078512,0.7666666666666667,1.0,0.0,227.04347826086956,45.814824125394516,23
1022,Male,19.0,1.76,79.0,25.5036157,0.6333333333333333,1.0,0.0,223.3684210526316,37.706917592784365,19
1023,Female,18.0,1.57,50.0,20.28479857,0.6,1.0,0.0,240.27777777777777,37.95436668707942,18
1024,Female,34.0,1.68,77.0,27.28174603,0.6,1.0,0.0,220.88888888888889,41.460675999324806,18
1025,Female,40.0,1.58,63.0,25.23634033,0.7666666666666667,1.0,0.0,234.43478260869566,41.38139267515473,23
